,index,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft,price,current_floor,total_floor,BHK,area
2052,4289,1,1850,2,Ready to Move,1,5,5634,10422900,7.0,11,4,Om
2053,4291,2,3000,1,Poss. by Dec '25,1,3,6500,19500000,3.0,20,3,Sangini
2054,4292,2,4491,1,Poss. by Jun '24,1,3,6791,30498381,7.0,13,4,Roongta
2055,4293,2,3000,1,Poss. by Mar '25,1,3,5700,17100000,8.0,12,4,Vesu
2056,4294,2,150,1,Ready to Move,1,3,31481,4722150,,3,6,in
2057,4295,1,2825,1,Ready to Move,1,3,7011,19806075,9.0,11,5,Shaligram
2058,4297,1,3300,1,Poss. by Dec '24,1,5,8000,26400000,7.0,11,5,Triyom
2059,4298,2,2705,1,Ready to Move,1,3,5693,15399565,8.0,13,3,Laxmi
2060,4299,2,2962,1,Poss. by Dec '24,1,8,5991,17745342,5.0,14,4,Happy
2061,4301,1,1488,1,Ready to Move,1,5,5637,8387856,7.0,13,3,Laxmi
2062,4303,1,2236,1,Poss. by Jun '26,1,3,7316,16358576,3.0,19,4,Roongta
2063,4304,2,3376,1,Poss. by Jun '24,1,3,5835,19698960,8.0,13,4,Milestone
2064,4305,2,6800,1,Poss. by Mar '25,1,3,5200,35360000,11.0,12,5,Dumas
2065,4307,2,3211,1,Poss. by Aug '24,1,8,5263,16899493,8.0,13,4,Milestone
2066,4308,2,4675,1,Poss. by Dec '27,1,1,6802,31799350,5.0,12,5,DMD
2067,4309,2,5260,2,Poss. by Dec '27,1,4,5703,29997780,8.0,12,5,Avadh
2068,4310,2,3767,1,Poss. by Dec '24,1,3,5991,22568097,5.0,14,4,Happy
2069,4312,1,2033,1,Ready to Move,1,5,5627,11439691,5.0,12,4,Laxmi
2070,4314,1,2640,1,Poss. by Jun '26,1,3,7191,18984240,5.0,13,4,Rajhans
2071,4315,2,4000,1,Poss. by Jun '24,1,3,8000,32000000,6.0,13,4,Sangini
2072,4316,2,3600,1,Poss. by Mar '25,1,3,5000,18000000,5.0,12,4,Dumas
2073,4318,2,3600,1,Ready to Move,1,8,4500,16200000,7.0,13,4,Avadh
2074,4319,2,3510,1,Poss. by Dec '27,1,3,6809,23899590,1.0,12,4,DMD
2075,4320,2,3600,1,Poss. by Dec '27,1,3,5694,20498400,8.0,13,4,Avadh
2076,4321,2,3551,1,Poss. by Oct '25,1,8,6398,22719298,5.0,12,4,Raghuvir
2077,4322,1,1650,1,Poss. by Mar '25,1,3,5600,9240000,5.0,12,4,Vesu
2078,4323,1,1930,1,Ready to Move,1,5,6500,12545000,7.0,11,4,DMD
2079,4325,2,4351,1,Poss. by Dec '25,1,3,5700,24800700,5.0,13,4,Avadh
2080,4326,2,3800,1,Poss. by Jun '24,1,3,5684,21599200,7.0,13,4,Avadh
2081,4327,1,2393,1,Ready to Move,1,3,7200,17229600,8.0,12,5,Raghuvir
2082,4328,1,2500,1,Ready to Move,1,3,9102,22755000,6.0,12,4,Newtone
2083,4329,2,3600,1,Poss. by Dec '24,1,3,5278,19000800,12.0,13,4,Avadh
2084,4330,2,3047,1,Poss. by Dec '26,1,1,5907,17998629,5.0,12,4,Freedom
2085,4331,2,5600,1,Poss. by Dec '25,1,3,6000,33600000,9.0,13,5,Avadh
2086,4332,2,2400,1,Ready to Move,1,3,6300,15120000,1.0,20,3,Sky
2087,4334,1,1870,1,Ready to Move,1,5,5471,10230770,7.0,13,4,Atmosphere
2088,4336,2,3133,1,Poss. by Jun '25,1,3,7200,22557600,5.0,12,4,DMD
2089,4337,1,2500,1,Poss. by Jun '24,1,3,6100,15250000,7.0,13,4,Avadh
2090,4338,2,4500,1,Poss. by Sep '24,1,8,4489,20200500,7.0,12,4,Dumas
2091,4339,2,3047,1,Poss. by Dec '24,1,8,5481,16700607,5.0,13,4,Freedom
2092,4340,2,3700,1,Ready to Move,1,3,5800,21460000,5.0,12,4,Laxmi
2093,4341,2,3113,1,Poss. by Dec '24,1,3,6521,20299873,8.0,14,4,Millionaires
2094,4342,2,4150,1,Ready to Move,1,1,7500,31125000,2.0,17,4,Sangini
2095,4343,1,5338,2,Poss. by Oct '25,1,3,5902,31504876,11.0,12,6,Avadh
2096,4344,1,2250,1,Ready to Move,1,5,6805,15311250,7.0,13,4,Rajhans
2097,4346,1,2310,1,Poss. by Dec '24,1,3,5786,13365660,5.0,12,4,Milestone
2098,4347,2,3133,1,Poss. by Dec '24,1,3,6799,21301267,5.0,12,4,DMD
2099,4349,2,7150,1,Ready to Move,1,3,8000,57200000,5.0,11,5,Surya
2100,4350,2,4200,1,Poss. by Dec '25,1,3,6000,25200000,7.0,12,4,Avadh
2101,4351,2,3000,1,Poss. by Dec '25,1,3,6750,20250000,3.0,20,3,Sangini
2102,4352,1,2915,2,Poss. by Oct '25,1,3,5700,16615500,5.0,12,5,Avadh
2103,4353,1,3135,1,Ready to Move,1,5,6851,21477885,7.0,9,5,Unison
2104,4355,2,3200,1,Poss. by Jul '24,1,3,5688,18201600,4.0,13,4,Rajhans
2105,4356,2,2550,1,Poss. by Jun '24,1,3,5922,15101100,7.0,13,3,The
2106,4358,2,2700,1,Ready to Move,1,3,5800,15660000,5.0,12,3,"Aarambh,"
2107,4359,2,3000,1,Poss. by Sep '25,1,3,6500,19500000,8.0,20,3,Sangini
2108,4360,2,2830,1,Ready to Move,1,4,7350,20800500,16.0,20,3,Sangini
2109,4362,1,1375,2,Ready to Move,1,5,6300,8662500,6.0,12,3,sangini
2110,4365,2,3400,1,Poss. by Jun '24,1,3,5912,20100800,5.0,13,4,The
2111,4366,2,2831,1,Poss. by Aug '24,1,1,5500,15570500,5.0,12,4,"Greenopolis,"
2112,4367,2,8000,1,Poss. by Dec '26,1,3,9500,76000000,9.0,17,5,Rajhans
2113,4368,2,3551,1,Poss. by Jul '25,1,3,6402,22733502,5.0,12,4,Raghuvir
2114,4369,1,1650,2,Ready to Move,1,5,5300,8745000,6.0,10,4,Milestone
2115,4371,2,5500,1,Poss. by Jun '24,1,3,7200,39600000,6.0,13,4,Avadh
2116,4372,2,3600,1,Poss. by Mar '25,1,3,6000,21600000,6.0,13,4,Vesu
2117,4373,2,5302,1,Poss. by Dec '27,1,3,8000,42416000,5.0,12,5,Triyom
